Date,Price,Ticker,Return,Delta_Price,Volatility,Signal,Label,P/E Ratio
2020-01-31,74.83560180664062,AAPL,-0.044338808194862356,-3.4720687866210938,0.2806466160146901,-1,Sell,31.212137
2020-02-03,74.6301040649414,AAPL,-0.002745989031132323,-0.20549774169921875,0.2779759746195672,-1,Sell,31.212137
2020-02-04,77.09391784667969,AAPL,0.0330136720644838,2.4638137817382812,0.2985601392346731,1,Buy,31.212137
2020-02-05,77.72254943847656,AAPL,0.00815410098948477,0.628631591796875,0.2975016301687302,1,Sell,31.212137
2020-02-06,78.63165283203125,AAPL,0.011696777835038974,0.9091033935546875,0.29551772663684234,1,Buy,31.212137
2020-02-07,77.56287384033203,AAPL,-0.013592223401208248,-1.0687789916992188,0.29392235103477155,-1,Sell,31.212137
2020-02-10,77.93124389648438,AAPL,0.004749309017490155,0.36837005615234375,0.29409154055305675,1,Sell,31.212137
2020-02-11,77.46104431152344,AAPL,-0.0060335182842135016,-0.4701995849609375,0.28621382871160633,-1,Sell,31.212137
2020-02-12,79.30059051513672,AAPL,0.02374801708346741,1.8395462036132812,0.2921947753187923,1,Buy,31.212137
2020-02-13,78.73588562011719,AAPL,-0.007121067968740347,-0.5647048950195312,0.29324633005448475,-1,Sell,31.212137
2020-02-14,78.75527954101562,AAPL,0.00024631615870829293,0.0193939208984375,0.29085812644485715,1,Sell,31.212137
2020-02-18,77.31320190429688,AAPL,-0.01831086938073423,-1.44207763671875,0.29706557651391147,-1,Sell,31.212137
2020-02-19,78.43292999267578,AAPL,0.014483012742959156,1.1197280883789062,0.29989374413251907,1,Buy,31.212137
2020-02-20,77.62828826904297,AAPL,-0.010258978259615636,-0.8046417236328125,0.3025666678487361,-1,Sell,31.212137
2020-02-21,75.87117004394531,AAPL,-0.02263502473489898,-1.7571182250976562,0.31311972107043207,-1,Sell,31.212137
2020-02-24,72.26725769042969,AAPL,-0.047500418820853874,-3.603912353515625,0.3546019828398759,-1,Sell,31.212137
2020-02-25,69.81939697265625,AAPL,-0.03387233438771553,-2.4478607177734375,0.3593528210852307,-1,Sell,31.212137
2020-02-26,70.92700958251953,AAPL,0.015863967004714485,1.1076126098632812,0.3474549584567959,1,Buy,31.212137
2020-02-27,66.29061889648438,AAPL,-0.06536847828951509,-4.636390686035156,0.3975765700558862,-1,Sell,31.212137
2020-02-28,66.2518539428711,AAPL,-0.0005847728420489418,-0.03876495361328125,0.39777909818614837,-1,Sell,31.212137
2020-03-02,72.41996002197266,AAPL,0.09310088264730387,6.1681060791015625,0.5136432577194908,1,Buy,31.212137
2020-03-03,70.11995697021484,AAPL,-0.03175924221802906,-2.3000030517578125,0.5250383095543341,-1,Sell,31.212137
2020-03-04,73.37244415283203,AAPL,0.046384614639720434,3.2524871826171875,0.5390260334607322,1,Buy,31.212137
2020-03-05,70.992431640625,AAPL,-0.03243741624920593,-2.3800125122070312,0.5481342891224394,-1,Sell,31.212137
2020-03-06,70.04964447021484,AAPL,-0.013280108155510062,-0.9427871704101562,0.5458372281770822,-1,Sell,31.212137
2020-03-09,64.50929260253906,AAPL,-0.07909179139419531,-5.540351867675781,0.6054423137945626,-1,Sell,31.212137
2020-03-10,69.15534973144531,AAPL,0.07202151723367956,4.64605712890625,0.668727720503281,1,Buy,31.212137
2020-03-11,66.75354766845703,AAPL,-0.034730531655400854,-2.4018020629882812,0.6769551502399375,-1,Sell,31.212137
2020-03-12,60.16132354736328,AAPL,-0.09875466325527993,-6.59222412109375,0.7408669575822118,-1,Sell,31.212137
2020-03-13,67.36914825439453,AAPL,0.11980828017117573,7.20782470703125,0.8778387383508589,1,Buy,31.212137
2020-03-16,58.70231246948242,AAPL,-0.12864695501544754,-8.66683578491211,0.9784849501134651,-1,Sell,31.212137
2020-03-17,61.28345489501953,AAPL,0.04397002974761799,2.5811424255371094,0.9985825350598907,1,Buy,31.212137
2020-03-18,59.783241271972656,AAPL,-0.024479912655329006,-1.500213623046875,0.99565950624597,-1,Sell,31.212137
2020-03-19,59.32517623901367,AAPL,-0.0076620976583572364,-0.4580650329589844,0.9957489979806102,-1,Sell,31.212137
